unified_id,kg_id,hgnc_id,symbol,entrez_id,ensembl_gene_id,uniprot_ids,refseq_accession,symbol_in_kg,biogrid_id
8041,26450,HGNC:15514,PICALM,8301,ENSG00000073921,Q13492,NM_007166,PICALM,113902
8042,91987,HGNC:23136,SCNM1,79005,ENSG00000163156,Q9BWG6,NM_024041,SCNM1,122476
8043,91990,HGNC:10658,SDC1,6382,ENSG00000115884,P18827,NM_001006946,SDC1,112284
8044,26458,HGNC:22963,MED24,9862,ENSG00000008838,O75448,NM_014815,MED24,115196
8045,59231,HGNC:12513,UCHL1,7345,ENSG00000154277,P09936,NM_004181,UCHL1,113192
8046,26466,HGNC:4074,GABPB1,2553,ENSG00000104064,Q06547,NM_001320910,GABPB1,108827
8047,59237,HGNC:25904,TMTC4,84899,ENSG00000125247,Q5T4D3,NM_032813,TMTC4,124339
8048,92006,HGNC:14511,MRPS25,64432,ENSG00000131368,P82663,NM_022497,MRPS25,122180
8049,26471,HGNC:23,ABAT,18,ENSG00000183044,P80404,NM_020686,ABAT,106536
8050,92016,HGNC:4661,GTF2IRD1,9569,ENSG00000006704,Q9UHL9,NM_016328,GTF2IRD1,114939
8051,59248,HGNC:23156,U2AF2,11338,ENSG00000063244,P26368,NM_007279,U2AF2,116466
8052,26483,HGNC:2255,CORO2A,7464,ENSG00000106789,Q92828,NM_003389,CORO2A,113302
8053,59253,HGNC:15687,SKAP2,8935,ENSG00000005020,O75563,NM_001303468,SKAP2,114448
8054,26487,HGNC:25934,MPND,84954,ENSG00000008382,Q8N594,NM_032868,MPND,124386
8055,92026,HGNC:3506,EVX1,2128,ENSG00000106038,P49640,NM_001304519,EVX1,108429
8056,92027,HGNC:20693,NXPH1,30010,ENSG00000122584,P58417,NM_152745,NXPH1,119028
8057,92034,HGNC:13635,PLVAP,83483,ENSG00000130300,Q9BX97,NM_031310,PLVAP,123668
8058,26502,HGNC:23200,HBP1,26959,ENSG00000105856,O60381,NM_012257,HBP1,117927
8059,92038,HGNC:2339,CRABP2,1382,ENSG00000143320,P29373,NM_001878,CRABP2,107773
8060,59272,HGNC:25691,ANKRD53,79998,ENSG00000144031,Q8N9V6,NM_024933,ANKRD53,123057
8061,59273,HGNC:5041,HNRNPH1,3187,ENSG00000169045,P31943,NM_005520,HNRNPH1,109428
8062,26507,HGNC:19218,PLCZ1,89869,ENSG00000139151,Q86YW0,NM_033123,PLCZ1,124625
8063,59278,HGNC:15494,C1orf21,81563,ENSG00000116667,,NM_030806,C1orf21,123526
8064,26526,HGNC:15894,PANK2,80025,ENSG00000125779,Q9BZ23,NM_024960,PANK2,123079
8065,92063,HGNC:21706,ARMC10,83787,ENSG00000170632,Q8N2F6,NM_031905,ARMC10,123762
8066,92065,HGNC:17011,HNRNPUL1,11100,ENSG00000105323,Q9BUJ2,NM_144732|NM_007040,HNRNPUL1,116281
